Minute,Hour,Day,Req/Min,AvgResponseTime,NumberOfPods
0,0,1,59,0.61,1
1,0,1,54,0.80,1
2,0,1,63,0.56,1
3,0,1,72,0.41,1
4,0,1,52,0.71,1
5,0,1,63,0.86,1
6,0,1,23,0.86,1
7,0,1,74,0.59,1
8,0,1,30,0.55,1
9,0,1,25,0.38,1
10,0,1,74,0.97,1
11,0,1,80,0.58,1
12,0,1,29,0.81,1
13,0,1,33,0.38,1
14,0,1,30,0.57,1
15,0,1,76,0.80,1
16,0,1,45,0.79,1
17,0,1,41,0.40,1
18,0,1,59,0.56,1
19,0,1,79,0.59,1
20,0,1,54,0.35,1
21,0,1,77,0.62,1
22,0,1,28,0.48,1
23,0,1,76,0.69,1
24,0,1,56,0.38,1
25,0,1,60,0.89,1
26,0,1,77,0.85,1
27,0,1,25,0.33,1
28,0,1,43,0.60,1
29,0,1,60,0.60,1
30,0,1,34,0.44,1
31,0,1,66,0.30,1
32,0,1,63,0.38,1
33,0,1,72,0.37,1
34,0,1,37,0.93,1
35,0,1,62,0.42,1
36,0,1,62,0.59,1
37,0,1,67,1.00,1
38,0,1,50,0.61,1
39,0,1,49,0.94,1
40,0,1,79,0.95,1
41,0,1,57,0.92,1
42,0,1,32,0.77,1
43,0,1,33,1.00,1
44,0,1,46,0.93,1
45,0,1,25,0.65,1
46,0,1,24,0.55,1
47,0,1,74,0.60,1
48,0,1,51,0.63,1
49,0,1,70,0.89,1
50,0,1,61,0.94,1
51,0,1,57,0.36,1
52,0,1,63,0.50,1
53,0,1,45,0.77,1
54,0,1,35,0.77,1
55,0,1,50,0.86,1
56,0,1,46,0.93,1
57,0,1,24,0.31,1
58,0,1,37,0.97,1
59,0,1,60,0.70,1
0,1,1,42,0.96,1
1,1,1,40,0.35,1
2,1,1,69,0.38,1
3,1,1,36,0.86,1
4,1,1,37,0.92,1
5,1,1,22,0.56,1
6,1,1,44,0.86,1
7,1,1,60,0.77,1
8,1,1,51,0.58,1
9,1,1,36,0.50,1
10,1,1,49,0.30,1
11,1,1,51,0.68,1
12,1,1,50,0.43,1
13,1,1,76,0.35,1
14,1,1,30,0.42,1
15,1,1,31,0.38,1
16,1,1,43,0.59,1
17,1,1,70,0.70,1
18,1,1,66,0.48,1
19,1,1,44,0.82,1
20,1,1,54,0.38,1
21,1,1,56,0.47,1
22,1,1,77,0.84,1
23,1,1,69,0.97,1
24,1,1,69,0.43,1
25,1,1,36,0.80,1
26,1,1,75,0.71,1
27,1,1,41,0.78,1
28,1,1,75,0.37,1
29,1,1,53,0.50,1
30,1,1,45,0.64,1
31,1,1,49,0.50,1
32,1,1,33,0.95,1
33,1,1,43,0.92,1
34,1,1,67,0.41,1
35,1,1,40,0.89,1
36,1,1,35,0.32,1
37,1,1,46,0.69,1
38,1,1,78,0.53,1
39,1,1,68,0.38,1
40,1,1,72,0.67,1
41,1,1,55,0.94,1
42,1,1,69,0.81,1
43,1,1,37,0.49,1
44,1,1,58,0.60,1
45,1,1,37,0.47,1
46,1,1,56,0.78,1
47,1,1,69,0.69,1
48,1,1,64,0.99,1
49,1,1,51,0.52,1
50,1,1,50,0.32,1
51,1,1,49,0.83,1
52,1,1,75,0.51,1
53,1,1,43,0.66,1
54,1,1,59,0.39,1
55,1,1,57,0.89,1
56,1,1,27,0.63,1
57,1,1,55,0.54,1
58,1,1,52,0.51,1
59,1,1,33,0.82,1
0,2,1,48,0.75,1
1,2,1,74,0.42,1
2,2,1,39,0.82,1
3,2,1,68,0.32,1
4,2,1,79,0.57,1
5,2,1,30,0.42,1
6,2,1,66,0.41,1
7,2,1,40,0.45,1
8,2,1,48,0.42,1
9,2,1,37,0.59,1
10,2,1,49,0.52,1
11,2,1,74,0.59,1
12,2,1,30,0.31,1
13,2,1,66,0.45,1
14,2,1,69,0.38,1
15,2,1,28,0.84,1
16,2,1,67,0.50,1
17,2,1,33,0.97,1
18,2,1,38,0.77,1
19,2,1,50,0.49,1
20,2,1,22,0.32,1
21,2,1,32,0.69,1
22,2,1,32,0.68,1
23,2,1,36,0.88,1
24,2,1,67,0.40,1
25,2,1,30,0.87,1
26,2,1,42,0.52,1
27,2,1,53,0.60,1
28,2,1,24,0.82,1
29,2,1,74,0.50,1
30,2,1,65,0.67,1
31,2,1,36,0.77,1
32,2,1,31,0.44,1
33,2,1,26,0.40,1
34,2,1,63,0.78,1
35,2,1,50,0.78,1
36,2,1,33,0.34,1
37,2,1,29,0.74,1
38,2,1,29,0.55,1
39,2,1,64,0.36,1
40,2,1,23,0.36,1
41,2,1,51,0.43,1
42,2,1,23,0.54,1
43,2,1,21,0.87,1
44,2,1,80,0.77,1
45,2,1,79,0.37,1
46,2,1,74,0.67,1
47,2,1,44,0.58,1
48,2,1,38,0.48,1
49,2,1,65,0.32,1
50,2,1,61,0.50,1
51,2,1,52,0.38,1
52,2,1,79,0.65,1
53,2,1,49,0.59,1
54,2,1,27,0.81,1
55,2,1,21,0.64,1
56,2,1,24,0.71,1
57,2,1,44,0.60,1
58,2,1,27,0.71,1
59,2,1,64,0.91,1
0,3,1,35,0.48,1
1,3,1,65,0.45,1
2,3,1,38,0.54,1
3,3,1,43,0.93,1
4,3,1,40,0.57,1
5,3,1,62,0.59,1
6,3,1,38,0.60,1
7,3,1,52,0.44,1
8,3,1,28,1.00,1
9,3,1,27,1.00,1
10,3,1,70,0.72,1
11,3,1,68,0.52,1
12,3,1,68,0.99,1
13,3,1,74,0.33,1
14,3,1,54,0.41,1
15,3,1,57,0.34,1
16,3,1,51,0.84,1
17,3,1,26,0.93,1
18,3,1,26,0.40,1
19,3,1,37,0.99,1
20,3,1,74,0.83,1
21,3,1,64,0.52,1
22,3,1,65,0.71,1
23,3,1,24,0.66,1
24,3,1,33,0.63,1
25,3,1,20,0.90,1
26,3,1,70,0.42,1
27,3,1,60,0.31,1
28,3,1,76,0.53,1
29,3,1,41,0.42,1
30,3,1,39,0.89,1
31,3,1,36,0.92,1
32,3,1,48,0.88,1
33,3,1,60,0.90,1
34,3,1,77,0.71,1
35,3,1,42,0.35,1
36,3,1,44,0.77,1
37,3,1,21,0.89,1
38,3,1,63,0.68,1
39,3,1,68,0.58,1
40,3,1,56,0.53,1
41,3,1,67,0.86,1
42,3,1,47,0.49,1
43,3,1,56,0.96,1
44,3,1,64,0.77,1
45,3,1,38,0.60,1
46,3,1,53,0.50,1
47,3,1,61,0.59,1
48,3,1,46,0.68,1
49,3,1,64,0.56,1
50,3,1,65,0.65,1
51,3,1,76,0.33,1
52,3,1,41,0.91,1
53,3,1,60,0.96,1
54,3,1,62,0.47,1
55,3,1,78,0.46,1
56,3,1,48,0.85,1
57,3,1,32,0.55,1
58,3,1,66,0.31,1
59,3,1,36,0.80,1
0,4,1,58,0.36,1
1,4,1,61,0.83,1
2,4,1,55,0.76,1
3,4,1,42,0.89,1
4,4,1,20,0.60,1
5,4,1,65,0.51,1
6,4,1,46,0.37,1
7,4,1,76,0.89,1
8,4,1,60,1.00,1
9,4,1,42,0.39,1
10,4,1,55,0.79,1
11,4,1,57,0.42,1
12,4,1,60,0.69,1
13,4,1,66,0.50,1
14,4,1,57,0.67,1
15,4,1,22,0.49,1
16,4,1,56,0.31,1
17,4,1,40,0.61,1
18,4,1,64,0.58,1
19,4,1,59,0.51,1
20,4,1,60,0.55,1
21,4,1,26,0.51,1
22,4,1,73,0.91,1
23,4,1,65,0.64,1
24,4,1,50,0.49,1
25,4,1,38,0.71,1
26,4,1,56,0.62,1
27,4,1,54,0.74,1
28,4,1,48,0.36,1
29,4,1,67,1.00,1
30,4,1,73,0.61,1
31,4,1,59,0.62,1
32,4,1,71,0.91,1
33,4,1,67,0.83,1
34,4,1,50,0.41,1
35,4,1,73,0.65,1
36,4,1,56,0.44,1
37,4,1,57,0.40,1
38,4,1,67,0.82,1
39,4,1,46,0.97,1
40,4,1,77,0.56,1
41,4,1,20,0.99,1
42,4,1,66,0.57,1
43,4,1,34,1.00,1
44,4,1,34,0.62,1
45,4,1,42,0.99,1
46,4,1,58,0.74,1
47,4,1,38,0.45,1
48,4,1,67,0.63,1
49,4,1,63,0.35,1
50,4,1,68,0.52,1
51,4,1,75,0.49,1
52,4,1,71,0.72,1
53,4,1,60,0.34,1
54,4,1,30,0.94,1
55,4,1,56,0.46,1
56,4,1,60,0.43,1
57,4,1,34,0.94,1
58,4,1,46,0.41,1
59,4,1,76,0.44,1
0,5,1,33,0.95,1
1,5,1,64,0.56,1
2,5,1,68,0.97,1
3,5,1,34,1.00,1
4,5,1,71,0.82,1
5,5,1,51,0.81,1
6,5,1,76,0.39,1
7,5,1,52,0.62,1
8,5,1,80,0.42,1
9,5,1,74,0.91,1
10,5,1,37,0.89,1
11,5,1,56,0.39,1
12,5,1,65,0.86,1
13,5,1,75,0.42,1
14,5,1,56,0.51,1
15,5,1,68,0.66,1
16,5,1,32,0.69,1
17,5,1,27,0.62,1
18,5,1,32,0.57,1
19,5,1,28,0.84,1
20,5,1,51,0.48,1
21,5,1,59,0.46,1
22,5,1,33,0.88,1
23,5,1,21,0.88,1
24,5,1,32,0.63,1
25,5,1,69,0.77,1
26,5,1,79,0.70,1
27,5,1,49,0.94,1
28,5,1,54,0.88,1
29,5,1,35,0.63,1
30,5,1,59,0.45,1
31,5,1,58,0.78,1
32,5,1,59,0.77,1
33,5,1,58,0.66,1
34,5,1,80,0.59,1
35,5,1,20,0.54,1
36,5,1,30,0.83,1
37,5,1,22,0.53,1
38,5,1,62,0.58,1
39,5,1,65,0.61,1
40,5,1,80,0.54,1
41,5,1,56,0.39,1
42,5,1,53,0.95,1
43,5,1,37,0.48,1
44,5,1,76,0.67,1
45,5,1,57,0.50,1
46,5,1,28,0.84,1
47,5,1,47,0.66,1
48,5,1,34,0.88,1
49,5,1,41,0.42,1
50,5,1,59,0.56,1
51,5,1,48,0.70,1
52,5,1,33,0.77,1
53,5,1,26,0.94,1
54,5,1,47,0.75,1
55,5,1,76,0.90,1
56,5,1,68,0.72,1
57,5,1,20,0.83,1
58,5,1,45,0.64,1
59,5,1,40,0.61,1
0,6,1,56,0.78,1
1,6,1,71,0.98,1
2,6,1,44,0.70,1
3,6,1,71,0.97,1
4,6,1,74,0.60,1
5,6,1,30,0.91,1
6,6,1,77,0.91,1
7,6,1,41,0.61,1
8,6,1,20,0.88,1
9,6,1,65,0.87,1
10,6,1,46,0.43,1
11,6,1,21,0.65,1
12,6,1,74,0.34,1
13,6,1,32,0.85,1
14,6,1,38,0.75,1
15,6,1,20,0.92,1
16,6,1,51,0.87,1
17,6,1,75,0.88,1
18,6,1,24,0.82,1
19,6,1,76,0.80,1
20,6,1,66,0.50,1
21,6,1,24,0.86,1
22,6,1,67,0.94,1
23,6,1,35,0.39,1
24,6,1,21,0.76,1
25,6,1,39,0.87,1
26,6,1,69,0.88,1
